"title","artist","spotify_id","lyrics","bpm","energy","danceability","loudness","valence"
"Arirang","kaogaii","1Ub39u2U3z8VcTVRQhYZzn","Madilim na ang gabi
Ngunit patuloy kang nagsabi
Ng iyong nadarama
Kahit na alam na ang sagot

Bakit ba lagi na lang
Puro siya laman ng kinukwento?
Kahit na nasasaktan
Pinilit ko na lang tanggapin

[Chorus]
Ang awit ko sa inyo
Sana ay bawiin niyo
Ang hapdi, at sakit
Na dinulot niyo sakin

Ibalik mo ako
Sa tunay na mundo ko
Ang ngiti niyong dalawa~

[Chorus]
Ang awit ko sa inyo
Sana ay bawiin niyo
Ang hapdi, at sakit
Na dinulot niyo sakin

Ibalik mo ako
Sa tunay na mundo ko
Ang ngiti niyong dalawa~","84.978","0.2189999999999999","0.375","-14.078","0.392"
"Till I Die (Feat. KHAN)","kaogaii","2Ej5DF5dI8Lniv8WCry1w7","[Intro]
Oh oh
Makes me wanna go
Makes me wanna go-oh

[Verse]
Yes, one coffee, no sugar, no cream
I like these chords and I like caffeine
Music is delish, if you know what I mean
Make some noise if you're livin' the dream
Birth to death, kawaii till I die
Future funk groove and a bit of lo-fi
Friends to the end, together forever
85 degrees, it's city pop weather

[Pre-Chorus]
Feel the groove
Bust a move, yeah
Let's feel the groove
We'll dance away up to the moon

[Chorus]
Woah oh oh oh
This music makes me go
Makes me wanna say hello-oh, hello-oh
Woah oh oh oh
This music makes me go
Just gotta say hello-oh

[Verse]
Green Hill Zones and Rainbow Roads
Got more lives than I got cheat codes
Magic worlds, dress up clothes
Intergalactic radio
Freeform broadcasts, alleyways
Scratching records every day
Supersonic tunes forever
Cruising with [?]

[Pre-Chorus]
Feel the groove
Bust a move, yeah
Let's feel the groove
And dance away up to the moon

[Chorus]
Woah oh oh oh
This music makes me go
Makes me wanna say hello-oh, hello-oh
Woah oh oh oh
This music makes me go
Just gotta say hello-oh

[Interlude]
Hey!
Hey what's up?
Do you think you can make it today?
Oh yeah, sorry, I'm in traffic
Alright, alright, no problem
Oh, I'm wearing our matching shirt
What? Oh my god, I can't wait to see you!
I know, it's been so long
Right? Ok ok
Ok, see you later

[Chorus]
Woah oh oh oh
This music makes me go
Makes me wanna say hello-oh, hello-oh
Woah oh oh oh
This music makes me go
Just gotta say hello-oh

[Synth Solo]

[Chorus]
Woah oh oh oh
This music makes me go
Makes me wanna say hello-oh, hello-oh
Woah oh oh oh
I feel it in my soul
Just gotta say hello-oh","115.952","0.906","0.787","-3.936","0.374"
"Go Insane (Feat. Loopy)","kaogaii","0D1XTPsaKK6uDjlGz0ZYRE","[가오가이 & 키츠요지 ""돌+I"" ft. 루피 가사]

[Chorus: kaogaii, kitsyojii]
당연하지 woah, yeah, 당연하지 woah, yeah
당연하지 woah, yeah, 당연하지 woah, yeah
당연하지 woah, yeah, 당연하지 woah, yeah
당연하지 woah, yeah, 당연하지 woah, yeah
난 또라이, 난 또라이
난 또라이, 난 또라이
난 또라이, 난 또라이
난 또라이, 난 또라이

[Verse 1: kaogaii]
난 또라이, 예술한 보람이
드럼 위에서 놀았지 근데 돈이 따라 오다니
내 딕션 미친거녜 너 내 과거를 잊은거니
존내 딸배 뛰며 컸으니 당연히 쩔어 내 delivery
아 그래 난 말했어 soccer is hobby 태극기 뒷자리 펄럭 말이 좀
안 돼도 내가 하니 박수를 받지 출연료 더 줘라 댓글에 난리
Camera 돌면 다 구라치기 바뻐, 뒤에선 손가락 하트
난 솔직해 나만 뜨고 파서 기도해 덕소만 오르길 아파트 값

[Verse 2: kaogaii]
뇌 안 거쳐 내 필력 번역기 안 빌려
한글로만 찢어 멋진 직업
맨 정신인 적 없어 그래 충동 구매 여전해
한우 자주 먹어 그만큼 벌어
난 계산 못 해 수틀림 돌아버려 눈깔이
근데 또 애들은 늘 따르지 왜냐 난 많아 술값이
너 미칠 자신 없으면 빠르게 딴 직업 구해봐
난 돌아있지 다시 태어나면 넌 랩 할거냔 질문에 난

[Chorus: kaogaii, kitsyojii]
당연하지 woah, yeah, 당연하지 woah, yeah
당연하지 woah, yeah, 당연하지 woah, yeah
당연하지 woah, yeah, 당연하지 woah, yeah
당연하지 woah, yeah, 당연하지 woah, yeah
난 또라이, 난 또라이
난 또라이, 난 또라이
난 또라이, 난 또라이
난 또라이, 난 또라이

[Verse 3: kitsyojii]
최고가 될 때 까지 절대 안 멈춰, yeah
아니 최고가 된 것 같아 난 벌써
단지 사람들이 모를 뿐 그럼 알려 짜치는 바이럴 대신
다들 쥐어 짜낸 챌린지 찍을 때 나만 진짜로 challenge
도전해 내 자신 다음 세상 다음 하늘
하나님도 제껴 명수옹보다 더 악마의 아들
Rapper들이 받고 싶은 딱지는 공인
너희나 해 난 원해 내 실력의 자타공인

[Verse 4: kitsyojii]
허슬이 뭔 대수라고 내게 또라이래
내 눈엔 너희가 병신이고 나만 정상이네
So go to the top 빅뱅 T.O.P 는 아니야
맨날 윗 쪽만 바라보지만 GOP 는 아니야
한국에서 지 꼴리는대로 사는게
그걸로 돈을 버는게 이건 돌아야 가능해
너도 니 똘끼를 꺼내 진짜 원하는 게 있다면
난 최고가 될거야 자문자답 답은 당연

[Chorus: kaogaii, kitsyojii]
당연하지 woah, yeah, 당연하지 woah, yeah
당연하지 woah, yeah, 당연하지 woah, yeah
당연하지 woah, yeah, 당연하지 woah, yeah
당연하지 woah, yeah, 당연하지 woah, yeah
난 또라이, 난 또라이
난 또라이, 난 또라이
난 또라이, 난 또라이
난 또라이, 난 또라이

[Verse 5: Loopy]
절대 못 말려 아무도 머리 위에 꼭지가 돌 땐 (Yeah)
노려봤어 두 눈 얘네가 내 짐을 뒤질 때도 (Fuck 'em)
Fuck a manner if I feel 이건 아니지, tryna off the leash
안 재고 가 straight bit, blat, big black on ,yeah
겪어봤어 전부를 나 now, 바닥에서 위로 또 점프를
비밀이 아냐 my mama 엄마 아들 TV 나와 걍 대충 했지
Fuck other rappers 할 수 없어 너흰, do like me? nobody
빙빙 돌려 말 안해 꺼져 꺼 너의 career, come
아물지 않는 scar 두고 나가서 싸워 이기지 다음 round
지켜 내지 곧 난 뱉은 말 second round, take this shit my lesson
Now you get it 길어 내 싸움 I die winnin', 없어 나 혼자야 다구리
난 또라이지 아냐 까불이 넌 불편하지 이 발음이","141.007","0.981","0.703","-5.76","0.109"
"Where You At (Feat. Kohway)","kaogaii","0Ck7t2hFDZJtetBHJjcR6N","[가오가이 & 키츠요지 ""Where You At"" ft. 코웨이 가사]

[Chorus: Kohway]
You got to know, 달라진 날 봐 (Hey)
Too many calls, 난 이제 바빠 (Hey)
Stack it, stack it, stack it up, 이게 사는거지 alright
Playboy 더는 아냐, yeah, I don't lie
Where you at? Ooh, baby
Where you at? Don't worry
Where you at? 전화와도 말할게, I'm sorry
Where you at? Alright
Where you at? I don't mind
Where you at? Ooh baby
Come and teach me how to love

[Verse 1: kaogaii]
Where you at? 나는 집에
옆에 내 wife는 나의 식객
어깨엔 분유 자국 with baby
Okay, 나 해냈어 위기일 때
매일 같이 울어줬어 넌
안 무너졌어 영원하겠단 그 약속 지켜냈잖어
연고를 발라줬어 넌
다 나를 긁었어도, 그래 뭐 괜찮어 돈 버니 됐잖어
내려갈 일 없는 roller coaster (Ooh-oh)
내 얼굴이 박힌 공연 poster (Ooh-oh)
예능 나가 멍청 떠는 내 모습도
두 여잘 위해 벌고 써, 세무사는 장부를 적고있어, 시장님과 밥 먹고있어
많이 배 아팠음 해 나 망할거라던 잡것들이
왜 빨고 있어? 내 작업실 이제 환전소가 되어 잠궜어
내가 된다 했잖아 넌 괴로워 해
난 항상 여깄어 그래서 넌 지금 where you at?

[Chorus: Kohway]
You got to know, 달라진 날 봐 (Hey)
Too many calls, 난 이제 바빠 (Hey)
Stack it, stack it, stack it up, 이게 사는거지 alright
Playboy 더는 아냐, yeah, I don't lie
Where you at? Ooh, baby
Where you at? Don't worry
Where you at? 전화와도 말할게, I'm sorry
Where you at? Alright
Where you at? I don't mind
Whеre you at? Ooh baby
Come and teach mе how to love

[Verse 2: kitsyojii]
Where you at, my honey? Where you at, my shawty?
평생 물음표 살인마 I don't know what love is
근데 지금 여기 내 앞에 넌 서 있지
환영해 my baby, do you love me? 그럼 show me
돈을 벌어도, career 펴져도
사랑은 놓쳤었던 내 안 늘 허허벌판
그녀들 떠나며 내 마음에 남긴 scratch (Scratch)
Band 열풍이 불어도 거기엔 못 붙였던 band (Band)
그 때 너가 내게 나타나준거야 in the club
2NE1 컴백보다 반가워 nice to meet you, girl
건배 dancin', 너무 잘 맞는 talkin'
Fallin' in love, club인데 둘이서만 번지
Baby, check my swag (Swag)
Look at you, you bad (Bad)
Baby, what's your ETA? What's your ETA?
시간 맞춰 마중 갈게 baby, where you at? (At)
다시 만나 허나 and 아냐 endgame of love

[Chorus: Kohway]
You got to know, 달라진 날 봐 (Hey)
Too many calls, 난 이제 바빠 (Hey)
Stack it, stack it, stack it up, 이게 사는거지 alright
Playboy 더는 아냐, yeah, I don't lie
Where you at? Ooh, baby
Where you at? Don't worry
Where you at? 전화와도 말할게, I'm sorry
Where you at? Alright
Where you at? I don't mind
Where you at? Ooh baby
Come and teach me how to love","82.035","0.711","0.722","-4.769","0.5479999999999999"
"Big Mouth","kaogaii","0kOWQfQB7GaMJNFUZcegTq","[Intro]
(This is the only way)
(I don't wanna stand out)
(I don't feel like it)
(Bless the sing)
(Yeah, uh-huh)

[Verse 1]
Yeah-yeah-yeah
Nan hon mo narabu sekizui no aida kara
Nozoita jibun to onaji katachi ikimono
Annojou erabu tekisei suteejigawa
Kizuita jibun no mogaki wakai shita mono wo
Anata ga maeteru sono hako
Izen watashi ga suteta karabakodesu
Anata yori mae deru kanarazune
Sou it's a deal mayowazune
Warui hitone sekai kara nige
Make your choice
Muketeta focus
Kako no tigerhorse ni
Kusa bakka hayashiteru kuse
Tada boukan shiteru kai ga nai omae kara no
Hate heart
Oh shit! Mo uii?
Oshimai? Madada
Tarinai nda keiken
Tarirara singing de
Fu tokuina lyric
Futtekuru no gimikku
Shinnen ga an ya
Shin sekai angya

[Verse 2]
Chakuchi shita tokoro eiridatta dake
Te wa chimamire tada nadete taita dake de
Misuteiku misutezu ni aishite itadakete
Zenbu haita iete mo kizu wa iezu ni (Betsu ni ii)
Subarashii mono ga afureteruyo yononaka
Demo tadashii mono kakehanareteru naze ka
Tehodokida misadamena yoi kyoku
Memotorina wasurenna hikkiyougu
Kyoku hikkyou ikkyou top
Dekinaiyo seebu
Kaitokuyo hansei bun
Hazeru mata aoi inu
Atama ii riyuu narabete wa zuibun deokureta kore abaren bouseibun mo
Kami kara no gifuteddo iitai yatsu wa iwasude mo bera bera wa shabenna
Peraperana naiyou wa
Sanso muda hansokuda
Choushi dou? Nee? (Ha-ha-ha)
Chou shindoine

[Chorus]
I don't wanna stand out
I don't feel like it
Demo utaunoyo ok?
The only way
I cannot be mistaken
Nanimokamo sute
Beats per minute don't stay
The only way

[Verse 3]
""Good boy"" soune go zonchi no touri
Zenbu ""gyoi"" hoka ni kyoumi wa nai saishuu kai shikou teishi hayai
Keep going kamisama no iu touri
Mada hajimatta bakka kono beat prelude
Mawari yoku mite kuuki yome don't be rude
Osoruosoru kakidashita atarashii preview
Wasurezu ni tatakikomu hito nin avenue
Sou! Kore ga ongakudeshouga
Nanto shite mo en tame de shouka wa sasenai
Dare shimo bassenai
Hontou atte yokattayone
Kono kankyou de oto ni noreru
Tonde koko ni oreru
Daijina choushuu ga iru (Namida)
Maiku nigiru
Kimo ni meijiru itsu mo wasurechaikenai
Watashi hiriki megumareta mawari

[Verse 4]
Wadai kassarau hodo no sainou
Wanai sakarau koto mo fukanoudashi
Ba nai tappa aru ka? Kuyashiku mo no kedo dasai sakkon demo Utaitaino
Imada katsute nai da
Hajitenai song kore ga kuden ya
Tsutaetekure n ka
Sutoraiki
Okosase n zo riaru de
Hokore senzo DNA
Sadamerareta shinario
Gotsugoushugi no kagamiyo
Genjitsu tekina nakami wo
Dokozo no aho ga mitaino?
Koko made no baasu watashi ita ni tsuita
Koko made nobashi anata kita itsuita?
Doko made no kashi kyoyou? Jou itetsuita
Soko made no yatsu dare ga kitai shiteita?


[Chorus]
I don't wanna stand out
I don't feel like it
Demo utaunoyo ok?
The only way
I cannot be mistaken
Nanimokamo sute
Beats per minute don't stay
The only way

[Outro]
Maiku, doroppu
Mikata ni
New gap
Monogatari
Big up
Wasurezu ni
The only way
What's up? Kigen ukagai
Big mouth
Wa dekinai
I'm doll
Go shouchioki
The only way","112.97","0.701","0.429","-11.364","0.501"
"Come Over (Feat. BLASÉ)","kaogaii","5DKXZHVkmW8kXTWqPVWHdr","[Verse 1]
You call me on the telephone, you feel so far away
You tell me to come over, there's some games you wanna play
I'm walking to your house, nobody's home
Just me and you and you and me alone

[Pre-Chorus]
We're just playing hide and seek
It's gettin’ hard to breathe under the sheets with you
I don't want to play no games
I'm tired of always chasin’, chasin’ after you

[Chorus]
I don't give a fuck about you anyways
Who ever said I give a shit ‘bout you?
You never share your toys or communicate
I guess I'm just a play date to you

[Chorus]
I don't give a fuck about you anyways
Who ever said I givе a shit ‘bout you?
You never share your toys or communicatе
I guess I'm just a play date to you

[Verse 2]
Wake up in your bedroom and there's nothing left to say
When I try to talk, you're always playing board games
I wish I had monopoly over your mind
I wish I didn't care all the time

[Pre-Chorus]
We're just playing hide and seek
It's gettin’ hard to breathe under the sheets with you
I don't want to play no games
I'm tired of always chasin’, chasin’ after you

[Chorus]
I don't give a fuck about you anyways
Who ever said I give a shit ‘bout you?
You never share your toys or communicate
I guess I'm just a play date to you

[Bridge]
Ring around the rosie
I never know, I never know what you need
Ring around the rosie
I want to give you, want to give you what you need

[Chorus]
I don't give a fuck about you anyways
Who ever said I give a shit ‘bout you?
You never share your toys or communicate
I guess I'm just a play date to you","131.978","0.672","0.797","-6.135","0.561"
"Homie","kaogaii","1wIydHe80OV6TvCZHXPYtT","[Verse 1]
In my head, there's a galaxy, I’m trapped
Planets, that are shaped, just like my past
The aliens, mock me, and then they laugh
""You're all alone, by yourself, what an outcast.""

[Chorus]
Bright stars, they guide me through
And this galaxy's my view
Bright stars, they guide me through
In this galaxy

[Verse 2]
When things align, inside of my mind's eye
I will face my fear with all my might
There may be battles every single night
With each win, I know I’ll be alright

In the dark, creatures enter in my ship
Call themselves my ""friends"", and then they switch
But, every challenge, I will give myself grace
And create my peace, inside this place

[Bridge]
So fight on, fight on, I'll make it through, if I keep on
Fight on, fight on, I'll turn this place, into my own

[Chorus]
Bright stars, they guide me through
And this galaxy's my view
Bright stars, they guide me through
In this galaxy

[Verse 3]
Meteors remind me of my pain
Creating doubts, like a reoccurring train
With everything I’ve got, I'll focus, aim
Shoot them down, till none of them remain

It all seems like a dream, I'm in too deep
I toss and turn, every night, I get no sleep
I’m out of breath, anxious, just counting sheep
Waiting for some peace, so I can breathe

[Outro]
So I can breathe
So I can breathe
So I can breathe
So I can...

[Final Chorus]
Bright stars, they guide me through, I belong here, it's my home
Bright stars, they guide me through, And they tell me to...

[Bridge]
Fight on, fight on, you’ll make it through, if you keep on
Fight on, fight on, just turn this place, into your own

[Outro]
Bright stars, they guide me through, And I tell them, ""I am home.""
Bright stars, they guide me through, And they whisper, ""Welcome home.""","66.761","0.533","0.705","-5.66","0.759"
"I Don't Know","kaogaii","1iLS6pQGI6p5D1Fzd1ytF9","[Intro]
Arigato!
Fulcrum
Kawaiibeatz

[Chorus]
Yeah, she has no clue
I'm runnin' racks through the roof
I know what I gotta do
I know what I gotta do
Say she like my shoes
But she don't like the truth
But I'm not hiding anything
You cannot break my ruse
I'm somewhere out in Pluto
I'm somewhere really far
I really thought you knew that
I'm really going far
I'm goin' up to the stars
She fuck me in my car
Smokin' dope, it's way too strong
And she just touch my heart
She just touch my heart

[Verse]
Baby, I don't know
Baby, I don't know
I'm smokin' exotic dope (Come on!)
She wanna go, let's go
All the cash on the flo'
All the shit on the flo'
I'll do this shit on my own
Fly around, UFO's
Stickin' to the Jedi code
Hundred dollar eighth, I'm blowed (Come on!)
Why this hoe so trash? (Uh!)
I was skippin' class
And I barely passed
Now, I fly first class (Come on!)
Gettin' to the racks (Yeah!)
Hoes, they're shakin' ass

[Pre-Chorus]
Baby I don't know [x7]
Fulcrum's a codename we give to our secret informants

[Chorus]
Yeah, she has no clue
I'm runnin' racks through the roof
I know what I gotta do
I know what I gotta do
Say she like my shoes
But she don't like the truth
But I'm not hiding anything
You cannot break my ruse
I'm somewhere out in Pluto
I'm somewhere really far
I really thought you knew that (Plu-Plugg)
I'm really going far
I'm goin' up to the stars
She fuck me in my car
Smokin' dope, it's way too strong
And she just touch my heart
She just touch my heart

[Outro]
Baby I don't know [x8]
Arigato!
Kawaiibeatz","132.059","0.762","0.644","-4.987","0.7959999999999999"
"Showdown","kaogaii","7n5zEvc42vXgrxsyeTaSBE","[가오가이 & 키츠요지 ""쇼부"" 가사]

[Chorus: kaogaii, kitsyojii]
I wanna 쇼부, 쇼부, 쇼부 봐 버려, 쇼부, 쇼부, 쇼부
I wanna 쇼부, 쇼부, 쇼부 봐 버려, 쇼부, 쇼부, 쇼부
I wanna 쇼부, 쇼부, 쇼부 봐 버려, 쇼부, 쇼부, 쇼부
I wanna 쇼부, 쇼부, 쇼부 봐 버려, 쇼부, 쇼부, 쇼부 (I love 쇼부)
Man 한 번 뿐인 인생 난 봐 버려 쇼부 (쇼부)
Man 다음 기회는 없어 난 지금 쳐 쇼부 (쇼부)
Man 내일 뒤질 듯 난 오늘 안에 쇼부
I wanna 쇼부, 쇼부, 쇼부 봐 버려, 쇼부, 쇼부, 쇼부 (I love)

[Verse 1: kitsyojii]
이 귀염둥이들 버릇 못 고쳐 입에 달고 살어 어부바 (바)
꺼져 여태 누가 업어 키운 적 없지, 난 그냥 내가 직접 쇼부 봐
금수저 인맥 빽 뭐 하나 없이 여기까지 온 새끼 (Uh)
너희는 남자란 게 기념일의 내 여친보다 더 빽을 갖길 원했지
이랬네 저랬네 이유만 많아, 어쩌고 저쩌고 핑계는 더 많아
내 눈엔 죄다 여장남자 같아, 고추는 달렸는데 남자는 또 아냐
인맥이 없으면 만들어 예산이 없으면 일을 하고 실력이 모자라?
연습해 닥치고 잘 들어, 연습 game 없어 인생은 실전이야 좆만아
All in 니 삶을 전부 걸어 ballin' 다 잃거나 따거나
놓치면 사년이 뭐야 평생을 기다리다 죽어 이건 아냐 Olympic
HOFGANG 매일 띄워 승부수, 너무 띄워서 못 따라와 승무원두
야동 shorts 그만 보고, 쇼부나 봐, no die, just do or do

[Chorus: kaogaii, kitsyojii]
I wanna 쇼부, 쇼부, 쇼부 봐 버려, 쇼부, 쇼부, 쇼부
I wanna 쇼부, 쇼부, 쇼부 봐 버려, 쇼부, 쇼부, 쇼부
I wanna 쇼부, 쇼부, 쇼부 봐 버려, 쇼부, 쇼부, 쇼부
I wanna 쇼부, 쇼부, 쇼부 봐 버려, 쇼부, 쇼부, 쇼부 (I love 쇼부)
Man 한 번 뿐인 인생 난 봐 버려 쇼부 (쇼부)
Man 다음 기회는 없어 난 지금 쳐 쇼부 (쇼부)
Man 내일 뒤질 듯 난 오늘 안에 쇼부
I wanna 쇼부, 쇼부, 쇼부 봐 버려, 쇼부, 쇼부, 쇼부 (I love)

[Verse 2: kaogaii]
좀 닥쳐, uh
그 시간에 난 쇼부 쳐, uh
이십사시간을 다 써, uh
몸엔 땀띠가 났어 uh
가만 있음 되려 아퍼, uh
가난이랑 해야 해 작별 uh
체해도 일하러 갔어, uh
어금니로 손을 땄어, uh

[Verse 2: kaogaii]
이거 완전히 rap money 고집하다 외할머니 가신지도 몰랐잖아 (몰랐잖아)
똥폼 다 뗐더니 생각보다 폼나게 벌 수 있는게 졸라 많아
유튜브 외화벌이 달러가 원이 되니 달달해 놀랐잖아 (Ooh)
잠깐만 랩머니 어쩌고 벌어보니 돈 모양이 똑같잖아
빙시같은 그 새끼들도 그 스탠스 갖고 돈 벌기 위해 쇼부 치고 있어
Pay는 됐다하고 table 잡아주면 star 된 마냥 공연 뛰고 있고
난 달리거나 넘어질 바엔 쇼부쳐를 여기 썼던 가사인데 땀범벅에 썼어
이 바닥은 업소 더 노출해 몸값이 안 오르면 씨바 걍 벗어

[Chorus: kaogaii, kitsyojii]
I wanna 쇼부, 쇼부, 쇼부 봐 버려, 쇼부, 쇼부, 쇼부
I wanna 쇼부, 쇼부, 쇼부 봐 버려, 쇼부, 쇼부, 쇼부
I wanna 쇼부, 쇼부, 쇼부 봐 버려, 쇼부, 쇼부, 쇼부
I wanna 쇼부, 쇼부, 쇼부 봐 버려, 쇼부, 쇼부, 쇼부 (I love 쇼부)
Man 한 번 뿐인 인생 난 봐 버려 쇼부 (쇼부)
Man 다음 기회는 없어 난 지금 쳐 쇼부 (쇼부)
Man 내일 뒤질 듯 난 오늘 안에 쇼부
I wanna 쇼부, 쇼부, 쇼부 봐 버려, 쇼부, 쇼부, 쇼부 (I love show)","124.998","0.84","0.656","-3.755","0.187"
"Headbang (Feat. Kohway)","kaogaii","0KxkbigdxaTzzhDb2uK5tv","[가오가이 & 키츠요지 ""대가리"" ft. 코웨이 가사]

[Chorus: Kohway]
Get low, 내려입어 바지 끝까지
Let's go, check it 엉덩이 골짜기
Get low, 대가리에 새겨 못먹어도
Let's go, let's go, let's go (씨발럼아, let's go)

[Post-Chorus: Kohway]
흔들어 대가리, 들이밀어 대가리
흔들어 대가리, 들이밀어 대가리
흔들어 대가리, 들이밀어 대가리
흔들어 대가리, 들이밀어 대가리

[Verse 1: kitsyojii]
홈레코딩 보급 탓에 개나 소나 MC
너희 다 studio MC 꺼져 우린 stage MC
Live 하면 새끼들 떠올려 Insta나 YouTube
그래 SuperChat이나 구걸해 HOFGANG 공연 페이를 수금 중
뻐끔 금붕어들 fuck you
AR lipsync 원툴 제스쳐는 얼쑤
썸녀 한 번 없었을 놈들이 여기 누구 앞이라고 뚝딱거려
이 아마추어들의 뼈를 때리다 못 해 빻아 없애 순살처럼

[Verse 2: kitsyojii]
HOFGANG 우린 pro지요, 무대 위에 불을 질러
관객들 팔 다리 부러지고 회식 땐 상다리 부러지고
좆밥이랑은 겸상 안 해 넌 또 누구세요? (Uh)
개 좆같은 매너 근데 좆되는 무대매너
Dirty South Korean 이게 이번 우리 소리야
영어로는 sound 그래 병신아 못 알아 쳐먹으면 I'm sorry 야
김치 먹고 자라서 김치 힙합 그래서 순딩아 우린 매워 (Woo)
대가리 비우고 노는 법 씨바 이 형들 보고 배워

[Chorus: Kohway]
Get low, 내려입어 바지 끝까지
Let's go, check it 엉덩이 골짜기
Get low, 대가리에 새겨 못먹어도
Let's go, let's go, let's go (씨발럼아, let's go)

[Post-Chorus: Kohway]
흔들어 대가리, 들이밀어 대가리
흔들어 대가리, 들이밀어 대가리
흔들어 대가리, 들이밀어 대가리
흔들어 대가리, 들이밀어 대가리

[Verse 3: kaogaii]
오 쇼 찢고 돌아왔다 six block 의 boss
날 뭘로 봤길래 이 빙신 놀래긴, woah
난 원래 잘했고 배로 뛰지 페이가 더
뭣같지 넌 왜 깝쳤어 이 썅놈들 대가리 위에 늘 내가 있어
이제 알겠니 난 필요 없어 marketing
또 targeting 시장은 망했지만 내 돈 구멍 만개 있지
넌 숨어서 글을 써 가오가이 이 새끼는 강약약강
닥쳐 봤잖아 걍 랩 안 해도 뭐 제이통보다 내가 강강강강

[Verse 4: kaogaii]
난 너의 대가리, uh, 난 나의 대가리, uh
들이박아 메갈리안처럼 노인네 색깔론처럼
무식하게 살어도 칭찬 받어 되려 내가 돋보인다고 (What?)
왜냐면 다들 생각만 하고 난 걍 박어 그래 보법이 달러
High risk, high return, uh, 빨리는 맛은 미쳐 (What?)
뼈다귀 남을 때까지 뛰니까 내 잔고는 비만, uh
아빠가 됐지만 빠가를 고수해 안 바뀌어 nice한 내 빡대가리
Camera 치워 대가리 비워 그냥 씨바꺼 흔들어 쌀 때까지

[Chorus: Kohway]
Get low, 내려입어 바지 끝까지
Let's go, check it 엉덩이 골짜기
Get low, 대가리에 새겨 못먹어도
Let's go, let's go, let's go (씨발럼아, let's go)

[Post-Chorus: Kohway]
흔들어 대가리, 들이밀어 대가리
흔들어 대가리, 들이밀어 대가리
흔들어 대가리, 들이밀어 대가리
흔들어 대가리, 들이밀어 대가리","140.73","0.911","0.493","-7.548999999999999","0.369"
