title,artist,spotify_id,lyrics,bpm,energy,danceability,loudness,valence
Not Enough (Prod. by BOYCOLD),Swings,67sTNM9DVfsloYxfqGUffx,"돈 벌어 쌓아 둬, yeah, huh
너는 말해, ""rapper들은 다 같은 얘기 해"", yeah
Justin Bieber movin', 다녀 전 세계 매일, yeah
너는 말했어, ""rapper들은 다 같은 얘기 해"", hey
멀리 다녔어, 너가 내 곁에 항상
있을 것만 난 같았어
착각에 빠져 살아, 살아, huh
너무 바뀌어서 우리 처음 상황관
너무 달라, 봐, 우리 앞 김밥 집은 안 가, huh
Diamonds on my neck
전부 다 너에게 주면 될 줄 알았거든, yeah
가진 게 없을 땐 줄 수 있었던 게 사랑뿐이라서 나
I was wrong, 그건 나의 fault
진짜 원했어 난 real love
진짜 원해 난 real dawg
아무리 쓸어 담아도

너만을 기다려 나는, 눈 뜨고 수많은 밤을
그래서 내 눈이 빨개, uh, 이런 내 모습을 봐야 돼 넌
티내고 싶어서 빨리 바꿨지 프로필 사진
상태 메세지도 바꿨네, '이 또한 다 지나가리'
Why am I like this, 내 생각
우리는 아직 할 얘기 너무나 많지
눈으로 확인 해줄래
그새 많이 올라버린 이름 가치, yeah
You my boo boo
Imma go cop that new new (cop that new new)
필요한 거 있음 말해봐, 나한테 주문 (okay)
다시 날 받아줘 (yeah), 네 남친 삼아줘 (oh)
I got my pradas on (huh?), 빨리 날 안아줘, yeah
Hug me til my body break, 너가 이상하게 보고싶다
그래, 난 마치 그렉

넌 널 보게 하는 법 알아, it's effortless
난 디네뎃을 입고 넌 태도도 never this
안정적인 멘탈 안 봤지 내 messages
정상에 있는 자존감, everest
우리가 안 본지 약 2년쯤
아직도 내 raps do you listen to it
애인 아냐, 또 아냐 enemies
너 보내고 난 바뀌었어 energy
I just wanna talk to you
하나 된 건 하나두 안 좋아
다시 될 수 없을까, 다이나믹 둘로
늦은 밤 이제 대화가 아닌 술로
혹시나 궁금했다면 내 맘을 이젠 you know

니 입술이 나를 욕해도
니 마음이 날 진작 접어도
사랑은 항상 내 지난 허름한 자취방 냉장고 같았네
그때 내 나이 고작 스물
열면 춥고 텅 볐지, 채워줄 수 없었지
부족한 주머니로 너를 데려간 김밥집
돌아보면 너무 가난한 사랑은 사랑이 아니었다고
너무 가난한 사랑은 사랑이 절대 아니었다고
That's why
자기야, 난 돈이 없는 거지
가오가 없는 게 아니야, okay
사랑은 헷갈려도 돈은 헷갈리게 하지 않아
That's why I'm ballin'",179.149,0.167,0.36,-11.568,0.329
Villain (Feat. LeeHi & Simon Dominic) (Prod. CODE KUNST),Swings,3c6N9ENwOAfXZ97itIzYy6,"나는 입이 너무 가벼워
하고 싶은 말 못 하면 얼굴 가려워
어릴 때부터 날 쫓아오는 trouble
어쩔 수 없나 봐, 이게 그냥 나거든
내가 노력 안 한 것도 아니야
교회도 나갔지만 아버진 전직 목자
하드에 저장됐어 bible
날 누르면 꼭 터져
자책으로 시간 낭비했어
속박하지 마, 뒤로 가, 어서
모난 돌이 정을 맞지
부모 선생 형들 사회 날 패도 여전히 cocky
서른 넘어도 이러는데 어떡해?
악플 받기 1등 연예인 해도 난 못 변해
CoKun, Palo 형이 말해, ""이제 좋게 해보자""
아직 모르겠어, 그게 대체 무슨 말이야
사랑해달라 부탁하고 싶지만 괜찮아
봐봐, 시청률을 담당하는 애는 누굴까? I'm sorry

I'm back, 우리 동생
300명이 diss? 멀쩡해, 우리 동생
날조범은 걔, 난 전봇대, 우리 동생
일 봐도 머리에는 안 닿네, 우리 동생
나는 센 척 아니라 그냥 세, 우리 동생
Rap은 좀 하냐고? 그래, 꽤, 우리 동생
누가 나를 이겨? 꿈 깨, 우리 동생
아직도 배고프니? 네, 네, 우리 동생, 네네
나보다 멘탈 좋은 연예인이 있을까
여긴 내 고문장, 근데 제 발로 돌아왔어
나는 rap 이병헌, 나는 Hip JYP
누구는 싫어해도 항상 되찾지 내 자리
가짜로 사랑받을 바에 나로 살고 악당 할래
대신 돈은 놔둬, 챙길게, 당당하게
Real 한 게 궁금하면 내 14년을 봐
얻을 게 없는 game이라며
지금은 어때, 맞아?

싸가지 없게 생긴 face, 난 얼굴값을 해
자기 또 눈물 콧물 짤 거면서 내 빨간 맛을 택
난 안티보다 팬, 적보단 편이 더 많아, 다행히도
내 이름 뜻 알잖아, hip-hop scene의 악역 도미니코
성악설을 믿기에 그렇게 aka을 지어
나는 진심으로 내가 제일 잘 되기를 빌어
이 이기심에 질려 떠나지 나를 결국엔 다들
돈 문젠 1도 없는데 내 문제만 99개야
갖고픈 걸 아무리 다 가져도 마음은 우울하지
아주 비싼 시세일 때 난 가끔 미움을 사지
내 selfie는 곧 나의 mugshot
영화 속에 명대사도 대부분 악당들의 몫이야
악역도 나름 사연이 다 있다고, 나의 가족과
사랑을 지키기 위해서라고 해도 과연 좋게 봐줄까
난 나밖에 모르겠어 영원히 이럴 놈이야
과거가 밥 안 맥여주니까 let's leave it all behind
이렇게 한 track 위에 서 있다해도
Swings와 난 다시 예전처럼 돌아갈 수 없지
근데 the reason why
I do this shit, 걍 돈 되니까 하는 거지 뭐
옛 정 땜에 한다 했다면 그건 존나 거짓말",108.955,0.636,0.745,-4.7,0.834
Watch (feat.Black Nut),Swings,555Z9qFIXfk7JPuBfMlJmU,"김욱, 영준 형, 노창, 대웅이, 홍시영
Vasco, 또 C Jamm, 넌 쫄린 용사, 창피해
니 rap에 대한 내 feedback은 내 위액
이건 기회, 고민해, 니 미래는 위기에 놓이네
짬이 벼슬? 난 노친네, 내 punchlines 놓치네
빡센 해녀처럼 김 새, 두 손 내리지마, 그냥 위에
아니, 대충 10시에 맛간 시곌 니 머리에 그리게
Dream team이 돌고 도는 relay, 이건 민폐, 다른 crew에게
흠뻑 젖어봐, 내 수액에, 모두가 말하네, ""Swings 문제""래
틀렸지 넌, 난 문지훈, 여길 수리중
이 rap scene, chips stacking, 다 밀어버리지, waxing
첨 보는 애가 말해, ""오빠"", 넌 업소녈 잡아도 ""좀 놔""
문신 새기는 중 통장에, 이 beat 난 패버려, 혹나네
소방관 불러 I'm so hot, 또 얼음보다 차, Cro Cop
반은 나를 좋아해서 집중, 또 반은 나를 미워해서 씹구
넘어져도 난 오뚜기, Viagra 안 먹어도 난 또 서지
내 정신 상태와 소세지, 니 고갠 올라가고 내려가 코스피
난 Top Gun, bang! bang! bang! bang! 난 답, 넌 땡! 땡! 땡!
난 R-E-A-L, I'm Sorry
난 매일 혀랑 rhyme이 내 pay day를 당기니 이래요
Twitter에다 맨날 쓸데없이 사회, 여자, 엄마, 아빠까지 탓해
나도 가끔 그래, 근데 제발 그런 와중에도 한 번 CD나 내
니 기분 이해하지, 나도 그랬으니, 그냥 다시 일어서면 되지
근데 그때까진 너가 rapper라는 말은 밖에서 당분간 그만해

Okay, 나 rap 못 해, 실컷 웃어대
Flow는 개판, 읽어 국어책을
근데 봐, 읽는 level이 아나운서 급
그래서 날 찾나봐, 모든 방송국이
사람들은 말해, ""넌 개거품""
""어린애 감성만 건드려, 고영욱""
""캐릭터랑 가사 빼면 rapper들 중 최하위, 아마 아싸나 팻두 급""
Okay, 그럼 난 Swings를 불러 싸대길 때려
어쩔 거야, 전부 다 뽀록났잖아
메모장 켜고 beat를 틀어
자리에 앉아 빨리 날 빠는 가사를 적어
난 오래 가길 빌어 버텨야 해
AV 남배우보다 간절하게
내 실패를 바라는 넌 한결같이
내가 금방 꺼질 거란 글만 쓰지만
봐, 난 이 짓거릴 8년째 해
갈수록 더 뜨지, 아이러니해
물론 방송에선 idol한테 발렸네
그래도 뻔뻔해, I'm the best
다 덤벼, 몰라, 난 겁 따위
쇼미를 봤다면 그거 나랑 안 친한 거 알지?
Big Deal, OVC, Soul Com이 망하고
Illionaire, Hi-Lite, AOMG가 와도
나는 계속 이 중심에 있는 hot한 놈
브라자끈을 풀게 해, 여성부 장관도
물론 역겨워, 안 봐도 돼
넌 센 척하다 털리는 bitch, Ronda Rousey
여시 빼고 모든 여자가 날 사랑해
니 엄마는 내가 가입하길 원해 산악회에
니 걱정과는 달리 잘 나갈 뿐이지
여전히 먹혀 like Kazama Yumi
자살해, 너넨 공기란 게 무의미해
마치 문돼지 밥그릇, you pussies
날 죽일 기세던데 내 앞엔 못 오지?
넌 라텍스 입은 년 거기보다 쫄보지
1억을 벌었어, single '100'
우리 엄마는 월경이 멈춰도 춤 췄지
넌 beat 위로 그만해 gang 연기
정신차려, 너네 엄마는 이제 갱년기
Stop hating on me
내 성공이 배 아프면 너도 팬티 까
넌 못 하지, 너는 bitch, 겁 나지?
레이스 달린 T 팬티 들킬까봐, woah
아직도 남았어 할 말이? 닥쳐, 아가리
그냥 지켜 봐봐, 내가 뜰 때
너네 얼굴빛? 나 대신 이 beat가 말해주네, it's GRAY",150.043,0.732,0.669,-8.724,0.727
WAKEUP (Prod. Jeffrey White),Swings,1Vale2aRQ9NaDbJDXajzI3,"넌 아직도 배우 되길 원하고 있어
영화 많이 본 티가 나
그게 어딜 가겠어
니 손을 잡느니 차라리
예전에 헤어졌던
첫사랑 찾아가겠어 그럼
이제 넌 뭘 하겠어
Yo baby wake up 소리 지르지 말고
말했잖아 백번 아니 수만 번
자기야 세상에는
만약이란 말이 있어
만약 내가 널 버린다면
넌 어떡할 거야
내가 처음이자 마지막
부탁하나 할게 때리기 전에
빨리 가
이런 느낌 처음일 거야 보기를 줄게
미안해 사랑해 중에
너는 무슨 말을 할래

You better wake up girl
I shake ya girl
지금 필요한 건
정신적인 make up girl
난 걱정돼
너 어떻게 하려 하는 거야
Babe 아 난 솔직히 섭섭해
내가 알던 여자는
지금 너완 너무 다른
사람이었는데 지금도
넌 완전 언짢은 표정을 짓고
나를 노려보고 있다니
잔소리는 아니지만
이런 말 듣기 귀찮지
반대로 나도 니가 이렇게 나옴
조금씩 지치는 건 어쩔 수 없다고
근데 잘 생각해봐
난 내고 있어 용기
진짜 너를 생각 안 하면
이럴 필요 없지
내가 득 볼게 뭐가 있어
안 그래도 바빠
안 믿겠지만 미움
사는 거 싫다는 말야
애들이 니 욕 한 적 솔까 적진 않어
마지막으로 얘기해
정신 차려",97.004,0.745,0.754,-8.912,0.499
Want It (Feat. Paloalto) (Prod. CODE KUNST),Swings,6KRLNVGTXLZI2gjwRmozAc,"흔해 빠진 이름 사이 Khakii 빼줘 제발 좀 (좀)
날 미워하는 너는 안 보나 봐 거울도
이 노랜 tattoo 처럼 세상에 새겨져
남겠지만 괜한 걱정들은 저기 미뤄둬 (Ooh, ooh)
Whoa, whoa, go away, 못 돼 넘볼 게 (Huh, huh)
세상은 날 원하고 난 더 많은 걸 원해 (Woah)
내일은 더 멀리에 헤엄쳐야 해서 집에 돌아가지
파란 길 위 가로등이 잠들 때 (Okay)
올해가 누구 꺼라 생각해?
축배 들어, 래원, Wings형 같이 건배 (Woah)
2020 no more bad thang
I don't freakin' hate you
Wanna be your friend (Huh)
To you all the ladies, 그래, 거기 좀만 wait
저 높이 떠있는 해가 바다 뒤로 숨을 때
그땐 날 믿어줘, let'em boys go (Surfin')
다 올라타, 전세계 shippin' Wavy season (Whoo)

이젠 내 시간인지 시험인지 모를 게 와버렸고
겪고 지나서 이젠 색으로 보여 검은 것도
멀리 빛이 보여와, 난 지금 터널 속에 있어
신발 밑에 묻은 먼지
여전히 버스 타도 폼은 Porsche, 마치 다 가진 듯해
눈만 떠도 어차피 날씨는 늘 좋아, 지금이
바로 그 때지 언덕 넘어, 어? 원하면 걸어 다
날 저울 위에 올려도 내겐 시소지
이 불이 꺼지고 난 다음 내 잔해가 남길
바래, 넌 느껴줘, 마치 날 기다린 듯이
지나가 지나간 곳은, 가짠 결국 보여
잃어봤고 이루려 다시 장전, 없어 머물 일
도착은 여전히 먼 곳, 되물어보지 난 거울 보고
아마도 그래서 더 이뻐, 그래서 오르고 불 속에 던져
내 과거는 날 위한 경고고 먼지처럼 털어
이 결말은 뻔해, 세상아, 나도 너를 원해

오렌지색 빛 터널 도로 위에 핏자국
허무했던 게임을 떠나, 흔들어 백기 좀
펄럭거리던 새의 깃털은 떨어지고 폐기처분
특이점은 날 원해 오뚝이처럼
한 바퀴를 돌아가 난 다시
드라마 항상 마지막에 반전 구하지 (Ay)
발 못 맞춰, 어떻게 봐
바보 같잖아 두리번은
바통 터치하고 출발, jump out (Let's go)
갈 길이 멀기에 던져놨지, 가끔 혼자 벙쪄 난
부화기로 복귀하듯 던전의 아침, 칼 손에 쥐어 버텨라
벼랑 끝에 필요한 건 쥐구멍, 들어가 비를 맞지 그만
근데 하필이면 지금의 난 석회암 조각
네 손잡고 앞으로, 견제 안 해, 바보야
위선자는 나일 걸, 선처해줘
뒤를 못 본 걸 담보로
들이 갖다 박아 또 한 번
안 되면 드러눕길

Nobody stop me
올해의 artist? No, 올해의 총알받이
넌 봤지, 난 누굴 언급하지? 떠버리잖니
혹은 반대로 불에 하얗게 타지
내 주둥아리에선 담배 없이 연기가 나지
어떤 아가씨도 가능해, 원할 때 hottie 맞이
나이 차며 점수 올라, 이젠 10점짜리
내가 zone에 들어가면 구경꾼은 전신마비
내 뇌는 IMF, 누구보다 부가 많지
From the bottom to the top
자리 잡았어 the charts
가끔 살짝 내려가, 그리고 다시 올라와 (Yeah, yeah)
나는 rockstar, lit like a cop car
내 출신은 왕따, 건국했어 왕가 (Ay)
여기 MVP로 누굴 뽑을래? (Ay, ay)
넘쳤던 닭대가리 속의 오골계
니가 원하지 않아도 나머지는 원한대
솔직히 말해 내가 진짜 가면 이제 뭐할래?

기록갱신 legendary 위기도 기회로 make it
한땐 여론 땜에 내가 가진 재능 underrated
그들이 짜놓은 더러운 frame이 내 credit 더럽히겠지
근데 아직 할 게 많고 세상은 자꾸 날 찾네
잘 풀릴 땐 다 반기지
내가 무너지면 남이 될 이들도 별로 안 밉지
그게 승자의 방식
나쁜 생각들은 잠시 꺼두고 난 계속 밟지
Straight up, 초연하게 make dough",117.971,0.726,0.674,-4.497,0.119
Warrior (Prod. sAewoo),Swings,0GmP4Q5RsowghUZRpGjaLq,"Show에서 난, 마치 warrior, I go ape shit, buddy
있는 척 안 통해 결국 넌 개 씹거지
You bitch ass motherfucker 날 마주치면 너희는 runnin'
아니면 빨리 suck my dick, 분조장 you know it
Yeah, this is me 벌기 위해 swervin' in the morning
Money is different for me, take another pictures for me
No label, but ambitions on me
야만인 vibe, let’s jump in thuggin' with my homie 여긴
우리가 접수해 오늘 밤 어디를 가던 show에서 난 warrior, I go ape shit, buddy
Yo fuck you, stop talking 됐고 where's ma money
은행엔 공 공 공 드리블, 마치 네이마르
난 너무 빨라 병신아 그러니까 다시 say what
넌 확실하게 멍청이 전기 꺼 you 블랙아웃
다 조져놓고 도망가 ninja, yeah, we fade out
난 사기 치네 sorry to ma victim
한번 거쳐 간 년은 please sorry miss me
I feel that energy 토하기 전에 휙휙
네 귀에 박아 TNC it’s so trippy

집이 너무 커서 저번에 돈까를 잃었었지
난 너무 진짜라서 머리 안 감고 종로를 걷지
이건 자신감이 아냐 이건 그냥 앎 그 자체
사람들이 싫어져서 반드시 cool time을 갖네
난 힙합과 경쟁 안 해
난 새로운 도전만 해
9점 이상 hottie만
절대로 결혼 안 함
어떤 미녀라도 날 조련 못해 난 rich forever
딴 놈 땜에 날 떠났다면 택했어 차선책을
I’m the motherfuckin' shit
재벌 1세 곧 되실
워라벨 행복 필요 없어 가끔 발사하면 돼
Alpha male이 궁금하면 그냥 봐봐 내 인생
나랑 함께 일하는 사람 100명이 넘었네
난 질려가 fucking fame bitch
이제 봐 우리 labels
AP Alchemy
난 질려가 fucking fame bitch
이제 봐봐 우리 labels
AP Alchemy

Go ape shit, buddy 안 거쳐 머리
먼저 나가 몸이 완전 풀린 고삐
엿이나 먹어 머피
나한테 계속되는 실패 따위는 없지
새끼들아 know it? 상관없어 공식 무시의 법칙
Yeah, I say fuck it up for real 나 뻥치지 않아
넌 군대에서 뺑이 쳐
난 누워서 돈 벌어 pay 미쳤지
2년 전에는 일했어 개미처럼
학교 다닐 때마저 get paper
할 말 많아 부족해 A4
난 무지성 랩하지 개처럼
내 성장세 말도 안 돼 개쩔어
주문받을 준비하고 있어 Ben Baller
트랩 하는 놈들 중에 제일 올바르게 살아
마약 같은 거 할 바에 랩을 접고 말지 난 차라리
못 뜨면 못 뜨는 거지 다른 놈 똥꼬 안 빨아
나 한국 힙합 장기 집권할 거야 마치 오바마
시끄러 내 toss 왔다 갔다 또
느껴져 촉감 종이돈
난 몰라 적당히 모 아니면 도
올라야지 저기까지 노윤하 go up, aw yeah",160.035,0.926,0.481,-3.314,0.162
2007 (Prod. By IOAH),Swings,6uQ0YE1KVu7Ua3UpvahBTD,"Close your eyes you'll still notice me
These new nerds they ain't known to me
Nurtured the game like ovaries
Can't get old like jodeci
Deep throat, deep throat, aye
She know, she know, aye
Get your fix like Coldplay
This new shit fuck old ways
I could do this shit all day
You can hear me in the hallway
Save the game? yeah, probably
Not to claim that I'm Yahweh
JMIM we poppin'
What ya doin' is good ya way
I ain't trynna run no arms race
We stay on track we go our lane
Flow water like Bobby
Boucher shake ya bootie
Who they? who me?
Moon Swings
New king, she thinks
You cool, she thinks?
I think, you too, thank you
The new king, the new cobra
Middle finger to old me
I'm my best friend, we homies
So I owe me that much
When I lingered in '03
In the gutter you told me
Get up and cop that rollie
Cuz your motherfucking past sucks
That's old money old money don't pay for shit
Quit bitchin take off the apron
Now you're the one on some hater shit
And you wonder why you get hated trick?
You changed the game you raised the bar
But that was then know who you are
You hated old heads
And now who's gettin old here?
Swallow your pride switch the flow up
Hip hop's about change you know thus
Keeping it fresh is of the essence
You like to teach
Give you a lesson for a change
You claim the crown
For the message? Or just fame?
Ask yourself, switch tounges, yo

내 중딩 때 swag이 니보다 더 멋있어
병신아, 넌 rapper가 아니지, shit
그때 swag 현재 나보다도 솔까 멋있, 다시 난 달리지, sprint
나도 요즘 rap 하지, 조금 늦은 기미가 없지는 않지
거울 아냐, 바로 다 베끼는 새끼들과 달라
자기화 없는 표방은 곧 dick riding
누군 이래 hip-hop은 bitch 같은 거래
그래, 나는 안에다가 찍 쌌어
누군 먹기만 하고 입 닦어
누군 꿈나무를 만들지 like Big Poppa, uh
난 그 중 하나라 체중 나가나
일상의 drama를 수습하고 해도
집에선 곧 mama가 전화를 해
이것저것 또 몇 천만원 대
직원, 여친, 가족, rapper, PD, 기자, 작가
내 차 앞 유리 하단만 보면 예의 없는 애들이 알아
내 번호를 찍고 뻔뻔히 걸지
모르는 전화는 못 받아, 좀 살자, uh
기분은 지옥 무덤보다 low
회의 때 뱉는 slogan '맨 위로'
장난이 아냐, 나는 CEO
잠수 탄 노창, 힘든 기리도
다 챙겨야 해, 전부 챙겨야 해
샷발 구려 찝찝 배그할 때 마저도
병신 pic post 후 날 태그하네
니 유머와 돈 버는 재능 같네
난 까칠 like 고양이 애무할 때
물 새면 너는 썩지, 세무같이
연예인과 예술가의 차이
한 쪽은 한 쪽만 가능한데 한 쪽은 둘 다 하지
누구는 예능 나가, 불만 없어, 나도 한다
단지 유명해졌다 해서 발전을 멈추진 않아
내가 공이면 모두 눈은 쫓아와 like Ping Pong
과거로 돌아가야만 앞서 갈 수 있는 상황 like a Sling Shot
Oh, seven",114.98,0.358,0.649,-7.942,0.257
"Whistle (feat. nafla, CHANGMO)",Swings,3BA0aMD6fZIjh9qyidd22B,"술 마신 채, I‘m fuckin' drunk, 버르장머리
밤마다 중요하게 생각해 나의 허리
I don’t fuck with nobody
너넨 죄다 전부 떨이
나의 법은 혼자 만들어
All I need is hoes and 새삥 money
I’m up again, 난 gentleman
빈티지 denim, 알아봐 fan은
Kickin with JM, 안 돼 올해 날 빼면
Fuck a 체면, 나대로 살아 매년
Ay, yeah, yeah, yeah, yeah
Yeah, yeah, yeah, yeah
Hey, yeah, yeah, yeah, yeah
Yeah, yeah, yeah, yeah

아니, 요한이 행님 (안녕하세요)
돈까 행님 (잘 먹겠습니다)
올해는 공공재랍니다
아니, 제 겁니다요 hashtag 웃음
Yo, JMBITION 또 하나
요한이 형은 하나뿐인 랜선 bro (yo)
어색하니까는 party 열어보자
Baby 오면 바꿔줄게 네 UNIQLO
난 돈이 많아, 그리고 너는 예뻐
그러니 나의 돈 네 돈처럼 써도 돼
우린 천생연분 1일, 헿
야, 나 구창모다, 현재 가장 핫한 rap star
7080 구창모와 비견될 새 구창모야
야, 래퍼들 짖는 소리 좀 안 나게 하라
이제는 구창모 시대, 여성분은 나랑 노시게
올해는 공공재, 아니, 제 겁니다요, no cap

나는 한요한 같은 병신들이 너무 싫어
장용준 기저귀 충 설사 똥 차라리 이뻐
최순실, 이명박, 김치보다 난 더 씹혀
그래서 뭘 할 거냐, 그냥 한요한 작업 시켜
그거 아냐 노창이 또 쨀까 봐
Indigo 컴필 뽑기 전까지만 참아
발매 후 예술병 걸린 빡대가리
요한 옆에 눕히고 밟아, 체중계보다 많이
나는 맛이 나간 사장님, 돈, 돈, 돈, 돈
원래 수준은 빠가지, 돈, 돈, 돈, 돈
Hater가 fan 됐다 hater 된 걸 10번 본 뒤로
Fuck Hip-Hop, 어차피 우승은 송민호",103.993,0.878,0.791,-4.402,0.839
Bulldozer,Swings,57dAn3xBS8XfKeWJBmoTCC,"잠깐 쉬는 시간 좀 가졌지. 이건 운동 후의 등목
어떤 래퍼든 내게 까불지? 없어져, 니들의 등, 목
부처인 척, 해탈한 척, 혹은 큰 형인 척하면
네 시체를 내 술독에 담가 회색으로 변해. 사지 마, 승복
""맨날 공격적이야, man. 성격 대체 왜 저래?
여긴 아니야, 할렘."" 맞아, 임마. 여긴 서울시
경쟁서 이겨도 더럽지. 마치 비 오는 날 럭비 경기
이 도시의 언저리 끝 언덕 위 머저리들이 지내는 허연 집이
바로 나의 정신 상태
난 착한 것은 아냐. 음악만은 정직하게 해
예술에 윤리라는 잣대 들이댈 거면 넌 진보하지 말고
내 음악도 듣지 말고 닥치고 가서 집 정리나 해
난 내 할 말은 꼭 해. 넌 딴 래퍼들과
술집에서만 숨어서 하는 말 네 음악에선 절대 못해
날 망치면 넌 못 돼. 내가 족발이면 넌 좆 돼
너를 졸라 세게 찬다. 그것은 마치 3대의 차가
나란히 달려가서 끝까지 밟아. 졸라 세게 박아서
이빨 34개 나가. 나보고 네가 사람이녜
그래, 그래, 이건 외계 라임이야. 내 태도 한번 체크해봐라
반항아. 랩 체게바라. 봐, 실력이 애매하냐?
내 영혼 내가 매매하냐? 까부는 놈들 맴매한다
실력이 돈이면 되게 많아. 작업이라면 나는 매일 해, 아마
네가 1대 때리면 난 4대 갚아. 그게 너와 나의 3대 차이야
Get it, 어린놈아? 이게 너와 나의 세대 차이야
하하 비웃어봐. 난 더 웃기려고 스컬 형이랑 만나
파마하고 나시 입고 완전 신나게 레게한다
레게 야만! 구라가 악취면 넌 냄새 강함
그래, 이건 실력 생색 맞아. 내 입이 내는 소린 뱅뱅 탕탕
내 여자는 모든 게 탱탱 빵빵. 넌 내 앞에서 서면 깽깽 싸바싸바
그래, 넘겨, 내게 왕관. 내 단어가 널 죽여. 행맨 같아
난 원래 느리게 랩해. 네 입 잽싸게 벌려
느리고 끈적하게. 뱀이 섹스할 때처럼
The motherfuckin' nicest. Lyricism priceless
전라도 익산시 한식 밥집보다 찰짐
그 누구보다 솔직해. 여긴 다 사기꾼
난 누구보다 솔직해. 그래서 날 믿고
여긴 연기자가 너무도 많은 할리우드
가장 솔직한 게 오렌지, 말리부나 참이슬
누가 날 알아? 물론 남 탓하기 없기
근데 넌 요즘 권투계랑 똑같아: 알리 없지

Man, fuck you haters, I'll fuck you up
내 가랑이 사이에 있는 엿 먹어
너나 나나 똑같아. Fuck 성선설
착한 척 글 지워. 꺼, 텀블러
이미 경고했었잖아. 왜 건드려?
나의 입이 나의 루거. 난 물건 들어
네 이름 첨 들어. 왜 껴들어?
썩을 년. 너네 전부 썬글 벗겨
목 졸라 졸라 졸라 like pump it up
넌 이미 없어. 마치 스윙스 언플러
가짜 래퍼들만 내 존재가 껄끄러워
날 막 대했던 형들 왈 ""너무 컸어""
오디션 나와 떴어 like 버스커
3년 뒤에 살 내 차 이름은 버스커
넌 라이토가 아냐. 내 말 쳐들어
좆 되는 건 너 뿐. 내 이름 적으면, motherfucker!",90.508,0.389,0.383,-10.806,0.191
Pot (Prod. YEOHO),Swings,6mdVVE98DXN2EqXZZx0v4p,"We spittin' flames in a hotpot
Oh, boiling point 가볍게
손 대면 바로 달아오를 것 같아
너희 술안주엔 합 맞아
입을 오르내리겠지 매일
더 높아지는 온도 너넨 손도 댈 수 없게 끌어올라 이제
She go hard
지금 내 밑에서
궁금함 놀러와 내 집에 but 꽈춘 비켜 move your ass
And 후일담
그녀들 입에서
그 새낀 뭐든 잘해 근데 철이 들지 않아 머리든 몸이든

입 밖으로 뱉는 중
I cook every day new shit 쩌는 rhyme 과 flow
Ayy, 명문대 나온 그 누나도 내 랩 듣고 흔들어 booty
Wanna two shot?
안된대도 나 안 펴 담배도
갑자기 자기도 안 핀대 해라 맘대로
행동해 반대로 저 래퍼 다 데려와도
새끼들 나한테 뭣도 안될걸
다 말만 해 얼만데
할만해 내가 누군데
여기 앉아 테이블
묻지 마 내 이름
없어 내일은 play hard 24/7
규칙 안 지키고 traveling
밥 그릇 지키고 배불리
마흔 쯤에는 live in Beverly
I'm going to the next level
이 다음 목적지는 재벌 1세 커져가는 대가리 bitch I'm a star boy

I don't get it
I just don't get it
언제까지 거짓말만 하고 다닐 거야 너는
Not again, oh not again
I don't give a fuck about you and your bitches you call homies, I know they ain't your friends
You so 터프 터프 마초맨
Fake it till you make it, yeah
Huffin' and puffin' like you some kind of a bullfighter, man
Swervin' in and out of lanes 정하지 못해 pick a main
When you fuck it up, you always pull an “It's not you?”
“Oh no, it's not me”
“Oh no, it's not us”
Oh no, maybe problem's you all along, baby wakey

I, I like to rock, rock, rock, rock, rock
Nobody ever done it like me, 'cause I'm hot like its pop
And its fly, I'm the boss
I be plotting and be shopping, and I'm walking all the talking
All the hot bitches hop in, and you watching
Yeah, yeah, yeah, yeah, I'm super cocky
But nobody ever stop me
'Cause this beat make you lean like Hennessy or an energy drink
Mixed with vodka and cigars and some medicine, maybe
I don't chase anymore 'cause I know I'm the treat
The pots be whistling, and people out to chat in the streets
Wondering if the new thing is AP and Swings
굳이 말 안 해도 되지 뭐, but fuck it, I'm king
어떤 언어로 얘기해도 부정 못해 느낌
또 연설이든 랩, 노래든 느껴 내 energy
'Cause I'm young, and I'm handsome
And I'm rich, and I'm fresh
I got game and a hustle
And believe I'm the best

0에서 100 bounce back 올라왔네
번개 구름 AP
파급효과 듣던 애의 나비효과 yeah
넌 뭔데 와있어 여기에 빨리 가
너가 낄 자리가 ah
Yeah, 누구세요 그래서 넌
아 그러세요 그래서 뭐
Pot, pot 섭씨 100도야 우리 상태 pot
니 음악 듣고 웃어 아냐 나의 상대
잘해봐 음악이나 요즘 세대가 너의 핑계를
만들어 주니까 넌 행복하지?
복받았네 진짜 축하해 실실 웃어주고
쳐줄게 박수까지
운도 실력 너는 운이 hundred
We want our money back
해도 안되니 어깨 힘 빼
Oh",139.939,0.986,0.592,-10.33,0.778
