title,artist,spotify_id
듣고 있어?,Swings,3fxz5KdLS3B2KAjfEENekY
Not Enough (Prod. by BOYCOLD),Swings,67sTNM9DVfsloYxfqGUffx
Invasion (Prod. niceshotnick),Swings,7oUMBW2Xtb3CCt4rWRLSB8
No One Likes Us (Prod. Nochang),Swings,3TVPGk9hkCLnUP17yOAxAJ
"PORN FLICK (Feat. YANGHONGWON, Street Baby) (Prod. Matt)",Swings,2Qvr1LlQyKexI7eCUm1l6x
Villain (Feat. LeeHi & Simon Dominic) (Prod. CODE KUNST),Swings,3c6N9ENwOAfXZ97itIzYy6
Fake Rock Star (Feat. NO:EL),Swings,1VHx7hzQWgDM5ekRVc8OIT
Watch (feat.Black Nut),Swings,555Z9qFIXfk7JPuBfMlJmU
"A Real Lady (feat. Beenzino, GRAY, Zion.T)",Swings,0XUkedMnKr7SNDJlDPHviO
WAKEUP (Prod. Jeffrey White),Swings,1Vale2aRQ9NaDbJDXajzI3
Want It (Feat. Paloalto) (Prod. CODE KUNST),Swings,6KRLNVGTXLZI2gjwRmozAc
"양아치 (feat. BlackNut, GIRIBOY)",Swings,6EcDznwJ1099aL5jzm6Vch
step back b**** 'cause I'm too fye (Prod. sAewoo),Swings,43GeKUZ8072z0qt3IJm8Y0
Upgrade 2020,Swings,1yO2Tdk9kigVegslEzEWPN
Warrior (Prod. sAewoo),Swings,0GmP4Q5RsowghUZRpGjaLq
2007 (Prod. By IOAH),Swings,6uQ0YE1KVu7Ua3UpvahBTD
Fosho-! (Prod. YEOHO),Swings,7896LFcAWlUQMtoHY1OCJv
"Whistle (feat. nafla, CHANGMO)",Swings,3BA0aMD6fZIjh9qyidd22B
"Shit Is Real (Feat. The Quiett, GIRIBOY, Kid Milli) (Prod. By IOAH)",Swings,0S2tHfKyGUkRb1QWZos8R0
Bulldozer,Swings,57dAn3xBS8XfKeWJBmoTCC
Pot (Prod. YEOHO),Swings,6mdVVE98DXN2EqXZZx0v4p
"Keep Going (Feat. BewhY, nafla, ZICO) (Prod. By IOAH)",Swings,6OkseHBCi3Cf53nsi45ffK
Perky,Swings,79rLaNlOrmwh0OeBz6KMqj
SIDE (Prod. Matt),Swings,3f2Pv5OOhE8b4SrfksABL3
A Real Man,Swings,0tisOsps61hRuBhExxbU4b
mms (Prod. Wiz World),Swings,5TVcm420PmCN5fFz6HwZf2
WORK,Swings,0gINJfVy7dCxkSwrJmH0u2
B Mine (Feat. SUMIN) (Prod. CODE KUNST),Swings,0mJNPyr2WihPeSl2Gr5NLS
Fuck me 2014,Swings,0XCslEJPKWZK1iqCYJIpol
Future Bounce (Prod. JINBO),Swings,4qOGynchlZLScgzgbtExSn
Simon Dominic,Simon Dominic,2kbTe9JWzLAXa4MCp1FVNz
Where U At?,Simon Dominic,2NyxOlOTgq8fjI26UaRQ6P
Who You? (Prod. By GRAY),Simon Dominic,7bshkjyxLAk0mJLWzgwWey
Stay Cool,Simon Dominic,2PTI0f4zBER1Rp87QnfrdS
TTFU,Simon Dominic,2Ijm5CQ4Y24lS0Zi7oK6hj
Comfortable,Simon Dominic,2lEzKOtt7q64jQZ5meZsY8
Eh Hey,Simon Dominic,0Elb7OWuCqZ8xuVTB0kCHg
GOTT (Feat. MOON & Woo & Jvcki Wai),Simon Dominic,2d7cl6sY3LnfnStaq6jyS5
Home Sh*t Home (Feat. JINBO),Simon Dominic,2pdIj0UkQBu0eB0BMIoJcT
Cheerz,Simon Dominic,5AMg26GltfDcml0wChlkHs
DAx4,Simon Dominic,08BjRgnqzK1TAOU0zksdwB
make her dance,Simon Dominic,2IEaghW8CpyLlyQYvBxXEu
Lonely Night (Feat. ELO) (GRAY Remix),Simon Dominic,3kdIHn3c5Bfj6qfK6WHfpS
At Night,Simon Dominic,0da5hji35BCVb7nC8gRQzF
WON & ONLY (Feat. Jay Park),Simon Dominic,7lVy9AZ6NBCOqh5xa6ptiE
POSE! (Feat. YUMDDA),Simon Dominic,0omgWpim6u8CeZcielC5er
RUN AWAY,Simon Dominic,5GmUdLaY3xBYCDEB3CzEAN
ya ain't gang (Feat. JayAllDay & SIMO of Y2K92),Simon Dominic,2WMA3HGbMKeQ0Gz3PajYE8
Jung Jin Chul,Simon Dominic,4CfmZEOZ3NYgRZiXJbZBXk
Party Forever,Simon Dominic,0kGnxJUOZgCemWBfpgVe6H
make her dance (Feat. Loopy & Crush),Simon Dominic,1J4IYfkNTadbnJXVQZLAEm
Game Good (Feat. Simon Dominic) (Prod. GooseBumps & Simon Dominic),Simon Dominic,59futJ8UnUZuv3Lhu7lGWC
DAx4,Simon Dominic,4dqY7KP2PUK2WYYz6cqvUX
room type,Simon Dominic,57veQSQaHXzOmxoU1prlRw
intro,Simon Dominic,618m2IsAf8Cge5ND3sxOLx
Money Don′t Lie (Re-Mastered),Simon Dominic,3Uyn5kIycq8UlhKYWc5B4b
Me No Jay Park,Simon Dominic,1kRcDer4wEPGRTVV746X00
roommates only,Simon Dominic,7g8ynv4OzNyRemIiCDoFlW
Ullah,Simon Dominic,13TfyTSYW7kgU8vnjQwEMx
Stay Cool,Simon Dominic,1uAs77bRYKKMjQ2YCkbS8o
Spring Is Gone by chance,Loco,5rZN0PP6xZsf5SWxkpMm7k
Say Yes,Loco,27zrFrtUtWl2urlvjOn5xc
It Takes Time (Feat. Colde),Loco,1hhhgA9X2UJCxV4Vk8exVp
Don’t,Loco,4MidkNeonif4PcWSjkwOb7
You Don′t Know,Loco,1l5ucvhFyb65OGMX8spr4R
Too Much (Feat. DEAN),Loco,1uhxMfjhglHoWlNyN3JaGs
Still (Feat. Crush),Loco,0UsIsMukG8WAV0CVorWOTb
Somebody!,Loco,258Rx9GugoWqcn5rJGVU1W
Just Like This (Feat. george),Loco,47NJQJ5IJiNhSWbE6Ahytx
NOT OK (Feat. MINNIE),Loco,0tSDqQOK8EgoRxYXWkP5rR
It′s been a while (Feat. Zion.T),Loco,37CKtYC4R9m8woURH6hESX
Hold Me Tight (Feat. Crush),Loco,1dteYDjCFppP33ANUGfKFF
Late Night,Loco,5oK2nZo8CTCQJd1SJwBUws
Still (Feat. Crush),Loco,40pK4HjQnWjle9v0hWbdqV
POST IT (Feat. Jay Park),Loco,1ByJ2Pn1yxfTVl2cjCdYGO
Love(Prod.Rocoberry),Loco,29O4t4CViDRSDwiutvsOLS
Star (Little Prince),Loco,0YQO5aF9S0d3E74ZEfB9Dl
Hold Me Tight (Feat. Crush),Loco,0w0GIaU1kfFSpc5vTwwkjT
Can't Sleep,Loco,0KAEcWBiGbUMqysQGISkz8
Eh freestyle,Loco,4XbPK3sYAamzpttCcI7Xrd
Just Like This (Feat. george),Loco,3ptp3j48p6tPwGEJUCbSu0
PIKPIK,Loco,7B79L66MsXNrJPaIlRu7hS
All I Wanna Do (K) (Feat. Hoody & Loco),Jay Park,2FWquqPNxte8iqZ3ATQG0p
The Purge,Jay Park,3gGyzpBLb7pqOw5oC47QaV
곁에 있어주길,Jay Park,0nHB8bNZtg3BuAkWr7uJNc
JOAH,Jay Park,2occELokWRfqLIlQJhJLZ6
MOMMAE (Feat. Ugly Duck),Jay Park,1LNlfvPQmB0cqYJQQskZ8x
GANADARA (Feat. IU),Jay Park,5quFr5s5PXYfUX5jV2EBZ1
